"","YearRemodAdd","GrLivArea","TotRmsAbvGrd","SalePrice","GarageArea","YrSold","MoSold","TotalSF"
"496",0,0.073,0.167,0,0,2009,0.909,0.097
"917",0,0.028,0.167,0.001,0.217,2006,0.818,0.055
"969",0,0.119,0.333,0.004,0,2009,0.364,0.108
"534",0,0,0,0.006,0,2007,0,0
"31",0,0.185,0.333,0.007,0.176,2008,0.545,0.143
"711",0.883,0.074,0.25,0.024,0,2008,0.545,0.058
"1338",0,0.068,0.167,0.024,0,2006,0.182,0.092
"706",0,0.143,0.417,0.028,0,2010,0.545,0.066
"1326",0,0.087,0.25,0.028,0,2008,0,0.11
"813",0.033,0.134,0.167,0.029,0.355,2010,0.455,0.109
"1381",0,0.1,0.25,0.033,0.141,2010,0.455,0.122
"411",0.133,0.177,0.25,0.035,0.247,2009,0.455,0.194
"637",0,0.088,0.167,0.035,0,2009,0,0.064
"1101",0,0.02,0.083,0.035,0.173,2009,0,0.035
"376",0,0.107,0.167,0.036,0,2009,0.182,0.11
"463",0.25,0.1,0.25,0.038,0.254,2009,1,0.122
"1433",0.95,0.119,0.25,0.041,0.152,2007,0.636,0.113
"875",0,0.15,0.25,0.044,0.141,2009,0.636,0.129
"399",0,0.14,0.333,0.045,0.238,2007,0.909,0.149
"621",0,0.1,0.25,0.045,0,2008,0.727,0.122
"30",0,0.035,0.167,0.047,0.169,2008,0.364,0.062
"1280",0,0.15,0.333,0.047,0.372,2010,0.273,0.131
"1322",0,0.073,0.167,0.052,0.202,2008,0.545,0.034
"265",0.9,0.081,0.167,0.053,0.355,2008,0.455,0.097
"615",0.367,0.056,0.083,0.056,0,2010,0.364,0.081
"916",0.333,0.143,0.333,0.056,0.202,2007,0,0.114
"384",0,0.085,0.25,0.057,0.254,2009,0.818,0.108
"251",0.267,0.183,0.333,0.058,0,2010,0.364,0.149
"330",0,0.162,0.333,0.06,0.133,2009,0.545,0.127
"156",0,0.144,0.25,0.061,0,2008,0.273,0.117
"243",0,0.208,0.333,0.061,0.248,2006,0.273,0.144
"1327",0.933,0.083,0.333,0.061,0,2007,0.364,0.086
"432",0.8,0.163,0.417,0.062,0,2008,0.727,0.155
"590",0.167,0.113,0.167,0.062,0.217,2008,0.636,0.104
"936",0.05,0.078,0.25,0.062,0.372,2006,0.455,0.089
"69",0,0.078,0.167,0.063,0.155,2010,0.455,0.102
"1040",0.333,0.056,0.083,0.063,0.202,2009,0.273,0.081
"1144",0.15,0.127,0.25,0.063,0,2008,0.545,0.147
"1145",0,0.111,0.25,0.063,0.197,2010,0.545,0.111
"1219",0,0.109,0.083,0.063,0,2006,0.545,0.051
"387",0.767,0.16,0.5,0.064,0,2006,0.364,0.132
"435",0.367,0.056,0.083,0.064,0,2008,0.455,0.081
"1062",0,0.106,0.333,0.064,0.88,2008,0.636,0.127
"40",0.083,0.154,0.333,0.065,0,2008,0.455,0.072
"342",0,0.096,0.167,0.065,0.207,2009,0.727,0.108
"1001",0.033,0.115,0.167,0.065,0.372,2009,0.545,0.053
"309",0,0.099,0.167,0.066,0.38,2009,0.182,0.122
"633",0.45,0.203,0.333,0.066,0.384,2009,0.273,0.216
"1324",0,0.07,0.25,0.066,0,2009,1,0.07
"99",0,0.094,0.25,0.067,0.258,2010,0.364,0.084
"1087",0.383,0.143,0.333,0.067,0.202,2010,0.364,0.114
"1379",0.383,0.123,0.25,0.067,0.186,2006,0.455,0.099
"1036",0.117,0.096,0.25,0.068,0.205,2009,0,0.045
"126",0.533,0.079,0.25,0.069,0,2006,0.455,0.062
"650",0.333,0.056,0.083,0.069,0,2007,1,0.081
"1050",0.933,0.112,0.333,0.069,0.217,2010,0.273,0.052
"1454",0.933,0.152,0.333,0.069,0,2006,0.545,0.17
"89",0.533,0.225,0.333,0.07,0,2009,0.818,0.148
"345",0.433,0.147,0.167,0.07,0.237,2010,0.273,0.115
"431",0.35,0.123,0.167,0.07,0.186,2008,0.545,0.099
"639",0,0.087,0.167,0.07,0,2008,0.364,0.11
"977",0.133,0.101,0.167,0.07,0,2006,0.636,0.085
"1014",0.933,0.13,0.167,0.07,0.197,2009,0.455,0.15
"490",0.867,0.056,0.083,0.071,0.202,2009,0.364,0.081
"529",0.867,0.051,0.25,0.071,0,2007,0.545,0.07
"1002",0,0.067,0.167,0.071,0.152,2007,0,0.092
"128",0,0.095,0.25,0.072,0,2007,0.455,0.103
"326",0,0.088,0.25,0.072,0.254,2007,1,0.104
"677",0,0.271,0.5,0.072,0.549,2006,0.364,0.222
"1023",0,0.172,0.333,0.072,0.113,2007,0.182,0.16
"343",0,0.133,0.333,0.073,0.282,2006,0.364,0.062
"288",0.35,0.099,0.25,0.074,0,2006,0.455,0.121
"656",0.35,0.143,0.333,0.074,0.186,2010,0.182,0.112
"913",0,0.128,0.333,0.074,0.317,2006,0.545,0.127
"1008",0.333,0.143,0.333,0.074,0.202,2009,0.636,0.114
"697",0,0.053,0.167,0.075,0.145,2006,0.455,0.079
"236",0.35,0.123,0.25,0.076,0.186,2008,0.636,0.099
"308",0,0.202,0.333,0.076,0,2008,0.182,0.122
"480",0.833,0.15,0.417,0.076,0.474,2007,0.182,0.149
"18",0.283,0.181,0.333,0.077,0.364,2006,0.818,0.084
"439",0.867,0.068,0.167,0.077,0.248,2007,0.182,0.07
"1063",0,0.377,0.667,0.077,0.395,2007,0.727,0.233
"1413",0,0.133,0.333,0.077,0.296,2009,0.455,0.062
"76",0.383,0.123,0.25,0.078,0.209,2009,0.909,0.098
"495",0.767,0.104,0.167,0.078,0.193,2009,1,0.065
"999",0,0.14,0.333,0.078,0.148,2006,0.364,0.153
"1377",0,0.086,0.167,0.078,0.113,2008,0.273,0.107
"1073",0,0.211,0.417,0.079,0.197,2006,0.636,0.169
"1220",0.35,0.167,0.417,0.079,0,2006,0.273,0.136
"1450",0.333,0.056,0.083,0.079,0,2006,0.636,0.081
"638",0.067,0.198,0.417,0.081,0.181,2009,0.909,0.163
"737",0,0.133,0.333,0.081,0.282,2006,0.545,0.062
"822",0.05,0.113,0.167,0.081,0.406,2009,0.091,0.135
"1091",0,0.133,0.333,0.081,0.282,2009,0.455,0.062
"1132",0.7,0.121,0.25,0.081,0,2007,0.727,0.141
"1180",0.067,0.149,0.25,0.081,0,2006,0.273,0.069
"1138",0.767,0.129,0.333,0.082,0,2010,0.364,0.128
"98",0.25,0.118,0.333,0.083,0.305,2007,0.364,0.139
"233",0.367,0.123,0.25,0.083,0.203,2006,0.455,0.099
"353",0,0.146,0.25,0.083,0.141,2008,0.182,0.122
"1187",0.333,0.257,0.417,0.083,0.296,2009,0.636,0.205
"224",0.35,0.1,0.167,0.086,0.406,2009,0.182,0.122
"260",0.1,0.103,0.167,0.086,0.217,2008,1,0.048
"515",0,0.086,0.25,0.086,0.141,2007,0.455,0.107
"751",0.9,0.152,0.417,0.086,0,2010,0.455,0.121
"1039",0.967,0.19,0.333,0.086,0,2009,0.364,0.136
"659",0,0.212,0.333,0.087,0.233,2010,0,0.178
"92",0.183,0.17,0.333,0.088,0.339,2006,1,0.187
"211",0,0.1,0.25,0.088,0,2008,0.273,0.122
"457",0,0.19,0.417,0.088,0.362,2008,0.364,0.143
"647",0,0.135,0.417,0.088,0.296,2008,0.545,0.063
"750",0,0.225,0.583,0.088,0.169,2009,0.273,0.105
"107",0.75,0.134,0.333,0.09,0.193,2007,0.636,0.119
"122",0,0.149,0.167,0.09,0.186,2007,0.455,0.133
"180",0.933,0.119,0.25,0.09,0.339,2007,0.545,0.14
"394",0,0.086,0.167,0.09,0,2006,0.273,0.109
"762",0,0.182,0.25,0.09,0.31,2009,0.818,0.185
"838",0.383,0.123,0.25,0.09,0.186,2008,0.909,0.099
"885",0.283,0.105,0.25,0.09,0.203,2009,0.545,0.127
"973",0.483,0.11,0.25,0.09,0.186,2010,0.273,0.132
"1012",0.25,0.251,0.5,0.09,0,2010,0.364,0.116
"1258",0,0.1,0.167,0.09,0,2009,0.545,0.122
"1333",0.133,0.091,0.083,0.09,0.203,2009,0.364,0.114
"62",0.767,0.146,0.333,0.092,0.203,2007,0.182,0.114
"772",0.017,0.167,0.333,0.093,0.279,2006,0.273,0.151
"1010",0,0.224,0.417,0.093,0,2006,0.455,0.147
"1136",0,0.123,0.25,0.093,0.127,2007,0.364,0.141
"1233",0.2,0.168,0.333,0.093,0.326,2007,0.182,0.078
"712",0,0.159,0.417,0.094,0.271,2010,0,0.149
"164",0.1,0.103,0.167,0.095,0,2007,0.273,0.125
"672",0,0.195,0.333,0.095,0.212,2009,0.545,0.15
"730",0,0.165,0.25,0.095,0.38,2009,0,0.113
"199",0,0.357,0.5,0.096,0,2009,0.545,0.2
"147",0.717,0.102,0.25,0.097,0.127,2009,0.909,0.11
"1029",0,0.196,0.333,0.097,0.169,2007,0.273,0.159
"1186",0,0.167,0.417,0.097,0.276,2006,0.182,0.146
"1363",0.95,0.265,0.417,0.097,0.26,2009,0.455,0.186
"1371",0,0.196,0.333,0.097,0.238,2009,0.818,0.165
"1385",0,0.174,0.333,0.097,0.197,2009,0.818,0.13
"1405",0,0.166,0.333,0.097,0.66,2006,0,0.136
"618",0.067,0.094,0.167,0.098,0.372,2008,0.455,0.116
"228",0.333,0.123,0.25,0.099,0.197,2008,0.727,0.099
"354",0.883,0.073,0.25,0.099,0.341,2010,0.364,0.088
"393",0.15,0.103,0.25,0.099,0.207,2007,0.545,0.048
"521",0.833,0.181,0.417,0.099,0,2008,0.636,0.084
"810",0.25,0.34,0.75,0.099,0.254,2009,0.909,0.232
"897",0,0.116,0.333,0.099,0.231,2006,0.273,0.137
"1105",0.333,0.182,0.333,0.099,0.31,2007,0.273,0.14
"218",0,0.187,0.5,0.1,0.148,2006,0.727,0.147
"773",0.433,0.148,0.333,0.1,0.474,2010,0.182,0.159
"1207",0.267,0.136,0.25,0.1,0.271,2006,0.909,0.156
"75",0,0.239,0.5,0.101,0.267,2010,0.364,0.185
"533",0.95,0.093,0.25,0.101,0.276,2010,0.273,0.043
"536",0.683,0.191,0.25,0.101,0,2008,0,0.187
"789",0.833,0.107,0.167,0.101,0.198,2008,0.636,0.129
"1293",0.25,0.384,0.75,0.101,0.305,2009,1,0.266
"403",0.783,0.064,0.167,0.102,0.169,2008,0.636,0.088
"554",0.883,0.149,0.25,0.102,0.367,2009,0.364,0.069
"558",0,0.189,0.417,0.102,0.402,2006,0.727,0.144
"563",0.317,0.125,0.333,0.102,0,2008,0.545,0.145
"652",0,0.222,0.417,0.102,0.209,2009,0.818,0.169
"694",0.3,0.139,0.167,0.102,0.23,2006,1,0.159
"735",0.3,0.116,0.333,0.102,0.212,2007,0.364,0.137
"1346",0,0.118,0.25,0.102,0.217,2007,0.545,0.139
"39",0.95,0.136,0.25,0.103,0.173,2010,0,0.156
"395",0,0.132,0.25,0.103,0.169,2007,0.545,0.126
"428",0.117,0.108,0.25,0.103,0.248,2008,0.545,0.13
"1164",0.317,0.174,0.333,0.103,0.282,2008,0,0.186
"53",0.217,0.091,0.25,0.104,0.364,2010,0.364,0.114
"80",0.517,0.169,0.25,0.104,0.31,2009,0.364,0.117
"91",0,0.133,0.167,0.104,0.296,2006,0.545,0.062
"157",0,0.133,0.25,0.104,0.441,2006,0.455,0.062
"205",0,0.179,0.25,0.104,0.169,2009,0.273,0.146
"440",0.833,0.162,0.417,0.104,0.372,2009,0.636,0.135
"451",0.917,0.09,0.25,0.104,0.19,2006,0.455,0.113
"460",0,0.164,0.25,0.104,0.248,2009,0.545,0.138
"595",0.417,0.111,0.25,0.104,0.197,2008,0.273,0.133
"663",0.3,0.199,0.25,0.104,0.406,2009,0.545,0.215
"678",0.933,0.086,0.25,0.104,0.169,2009,0.364,0.107
"710",0.267,0.107,0.333,0.104,0.288,2008,1,0.127
"729",0.133,0.272,0.583,0.104,0.626,2009,0.545,0.265
"798",0.05,0.083,0.167,0.104,0.169,2008,0.273,0.106
"802",0.667,0.162,0.25,0.104,0.31,2007,0.545,0.18
"827",0,0.085,0.25,0.104,0,2008,0.364,0.108
"871",0.2,0.106,0.25,0.104,0.217,2009,0.636,0.127
"901",0.35,0.099,0.167,0.104,0.482,2007,0.455,0.121
"979",0.067,0.106,0.25,0.104,0.282,2007,0.364,0.127
"1357",0.267,0.105,0.25,0.104,0.186,2008,0.818,0.125
"242",0.783,0.1,0.167,0.105,0,2007,0.636,0.107
"1064",0.5,0.145,0.25,0.105,0.31,2006,0.545,0.164
"538",0.367,0.1,0.25,0.106,0.406,2008,0.273,0.122
"1320",0.067,0.116,0.25,0.106,0.175,2007,0.091,0.129
"203",0,0.184,0.333,0.107,0.281,2006,0.364,0.14
"226",0.35,0.182,0.333,0.107,0.197,2009,0.364,0.14
"1123",0.1,0.118,0.25,0.107,0.203,2009,0.818,0.114
"1217",0.467,0.295,0.5,0.107,0.38,2010,0.273,0.137
"1384",0.95,0.204,0.417,0.107,0.406,2007,0.636,0.166
"1408",0.583,0.094,0.25,0.107,0,2009,0.182,0.117
"1449",0.833,0.191,0.333,0.107,0.271,2007,0.364,0.138
"49",0.967,0.211,0.5,0.108,0,2009,0.455,0.162
"240",0,0.217,0.417,0.108,0.155,2010,0.273,0.165
"423",0.067,0.123,0.167,0.108,0.367,2008,0.091,0.144
"501",0.383,0.167,0.417,0.108,0.186,2007,0.364,0.136
"552",0.117,0.112,0.25,0.108,0.203,2008,0.455,0.133
"556",0,0.135,0.25,0.108,0.197,2006,0.636,0.15
"1026",0.367,0.103,0.25,0.108,0.325,2007,0.182,0.125
"1213",0,0.064,0.167,0.108,0.165,2009,0.636,0.088
"52",0,0.159,0.333,0.111,0.372,2006,0.727,0.114
"108",0,0.086,0.25,0.111,0.176,2008,0.273,0.109
"109",0.917,0.223,0.417,0.111,0,2007,0.636,0.173
"141",0.35,0.1,0.25,0.111,0,2010,0.273,0.122
"150",0,0.19,0.417,0.111,0.169,2006,0.273,0.167
"407",0,0.246,0.333,0.111,0.169,2008,0.182,0.166
"414",0,0.131,0.25,0.111,0.254,2010,0.182,0.149
"491",0.433,0.183,0.167,0.111,0.237,2008,0.455,0.108
"597",0.717,0.195,0.417,0.111,0.152,2006,0.818,0.15
"774",0.133,0.109,0.25,0.111,0.194,2007,0.545,0.13
"1049",0.933,0.271,0.583,0.111,0.237,2009,0.909,0.126
"1126",0.083,0.126,0.25,0.111,0.474,2009,0.909,0.147
"1178",0.9,0.168,0.25,0.111,0.148,2009,1,0.15
"1221",0.233,0.109,0.25,0.111,0.203,2006,0.909,0.13
"1295",0.667,0.1,0.25,0.111,0.403,2006,0.273,0.122
"437",0,0.148,0.333,0.113,0.31,2006,0.818,0.125
"815",0,0.173,0.417,0.113,0.197,2006,0.545,0.14
"873",0.767,0.109,0.25,0.113,0.292,2008,0.818,0.06
"961",0.967,0.099,0.167,0.113,0,2010,0.091,0.121
"1201",0.333,0.1,0.25,0.113,0.197,2006,0.545,0.122
"987",0.883,0.245,0.25,0.114,0.18,2006,0.455,0.156
"1115",0.833,0.094,0.167,0.114,0.23,2006,0.636,0.117
"1149",0,0.146,0.25,0.114,0.203,2008,0.636,0.118
"1203",0.783,0.191,0.25,0.114,0.152,2009,0.364,0.166
"1378",0.167,0.239,0.333,0.114,0.465,2009,0.545,0.197
"10",0,0.14,0.25,0.115,0.145,2008,0,0.152
"364",0.95,0.123,0.25,0.115,0.186,2009,0.364,0.099
"442",0.083,0.208,0.5,0.115,0,2008,0.727,0.223
"805",0.067,0.15,0.25,0.115,0.202,2006,0.455,0.152
"932",0.25,0.111,0.25,0.115,0.303,2009,0.545,0.133
"1030",0.367,0.167,0.417,0.115,0.186,2006,0.364,0.136
"1124",0.967,0.069,0.167,0.115,0,2009,0.455,0.093
"1133",0,0.353,0.5,0.115,0.145,2007,0.364,0.253
"576",0,0.166,0.333,0.116,0.237,2008,0.818,0.15
"583",0.667,0.091,0.25,0.116,0,2007,0.364,0.114
"610",0.183,0.131,0.25,0.116,0.184,2007,0.273,0.151
"884",0,0.357,0.667,0.116,0.31,2006,0.182,0.194
"1121",0,0.128,0.333,0.116,0.217,2007,0.364,0.148
"103",0.483,0.226,0.5,0.117,0.289,2009,0.455,0.105
"331",0.233,0.263,0.667,0.117,0.248,2007,0.909,0.273
"391",0,0.195,0.417,0.117,0.271,2008,0.273,0.166
"438",0.9,0.107,0.167,0.117,0.127,2009,0,0.127
"449",0,0.196,0.417,0.117,0.14,2006,0.455,0.16
"895",0.483,0.226,0.5,0.117,0.282,2009,0.455,0.105
"1015",0,0.141,0.25,0.117,0.169,2007,0.909,0.16
"1102",0.35,0.116,0.25,0.117,0.197,2007,0.545,0.137
"1137",0,0.173,0.333,0.117,0.203,2008,0.273,0.171
"1177",0.583,0.111,0.25,0.117,0.186,2008,0.818,0.128
"1250",0,0.123,0.333,0.117,0.195,2007,0.364,0.134
"1292",0.367,0.182,0.333,0.117,0.186,2009,0.091,0.14
"1315",0.067,0.116,0.25,0.117,0.197,2007,0.818,0.137
"1429",0.7,0.089,0.167,0.117,0.169,2010,0.091,0.11
"183",0.933,0.19,0.417,0.118,0.178,2007,0.455,0.088
"244",0.5,0.166,0.333,0.118,0.203,2009,0.273,0.132
"313",0,0.148,0.25,0.118,0.289,2006,0.364,0.138
"450",0.867,0.16,0.333,0.118,0.217,2007,0.455,0.131
"500",0.583,0.109,0.25,0.118,0.209,2007,0.455,0.13
"572",0.15,0.1,0.167,0.118,0.203,2006,0.818,0.122
"952",0.25,0.119,0.333,0.118,0.212,2006,0.545,0.128
"1035",0,0.117,0.25,0.118,0.169,2007,0.455,0.135
"1184",0,0.15,0.25,0.118,0.508,2006,0.455,0.168
"1401",0,0.155,0.25,0.118,0.147,2008,0.545,0.148
"269",0.083,0.084,0.167,0.119,0.652,2008,0.091,0.104
"726",0.333,0.1,0.25,0.119,0.465,2009,0.909,0.122
"1154",0.95,0.091,0.25,0.119,0.305,2008,0.455,0.114
"1437",0.35,0.1,0.25,0.119,0.372,2007,0.364,0.122
"561",0.767,0.199,0.25,0.12,0.372,2010,0.364,0.215
"996",0,0.169,0.25,0.12,0.215,2006,0.636,0.144
"1444",0,0.116,0.167,0.12,0.135,2009,0.364,0.138
"151",0.417,0.12,0.25,0.121,0.31,2007,0,0.14
"289",0.283,0.107,0.25,0.121,0.197,2010,0.091,0.127
"1267",0,0.293,0.583,0.121,0.217,2007,0,0.217
"1350",0.617,0.381,0.5,0.121,0,2008,1,0.219
"374",0.05,0.186,0.25,0.122,0.19,2009,0.909,0.14
"397",0.367,0.106,0.333,0.122,0.423,2009,0.727,0.127
"433",0.35,0.194,0.333,0.122,0.31,2007,0.636,0.157
"891",0.933,0.111,0.333,0.122,0.406,2007,0.545,0.111
"1341",0.35,0.101,0.25,0.122,0.339,2007,0.455,0.122
"1393",0.283,0.107,0.333,0.122,0.203,2006,1,0.125
"1417",0,0.369,0.75,0.122,0.395,2010,0.273,0.239
"90",0.75,0.124,0.25,0.123,0,2007,0.636,0.144
"698",0.033,0.153,0.333,0.123,0.217,2006,0.727,0.157
"275",0.533,0.091,0.25,0.124,0.186,2007,0.455,0.114
"465",0.467,0.133,0.25,0.124,0,2009,0.636,0.153
"506",0.033,0.306,0.667,0.124,0.282,2009,0.545,0.226
"510",0.15,0.133,0.333,0.124,0.19,2009,0.545,0.153
"631",0.683,0.267,0.5,0.124,0.169,2006,0.455,0.18
"723",0.333,0.1,0.25,0.124,0.327,2009,0.545,0.122
"957",0.5,0.169,0.25,0.124,0.326,2009,0.364,0.128
"1151",0,0.113,0.167,0.124,0.216,2007,0.909,0.134
"1392",0.283,0.235,0.5,0.124,0.559,2009,0.273,0.248
"1419",0.217,0.153,0.333,0.124,0.237,2008,0.636,0.171
"60",0.367,0.084,0.167,0.125,0.248,2008,0,0.107
"145",0.217,0.263,0.667,0.125,0.355,2006,0.909,0.273
"155",0,0.163,0.417,0.125,0.22,2006,0.182,0.181
"229",0.283,0.109,0.25,0.125,0.237,2010,0.364,0.13
"373",0.567,0.079,0.167,0.125,0.186,2010,0.091,0.102
"388",0.433,0.149,0.333,0.125,0.248,2009,0.818,0.16
"549",0.75,0.093,0.167,0.125,0.508,2008,0.455,0.115
"946",0.767,0.289,0.417,0.125,0.322,2009,0.727,0.219
"986",0,0.156,0.25,0.125,0.169,2008,0.636,0.175
"1193",0.733,0.214,0.333,0.125,0.176,2007,0.545,0.161
"1216",0.267,0.106,0.25,0.125,0.271,2007,0.364,0.127
"1335",0.333,0.194,0.417,0.125,0.31,2009,0.364,0.157
"905",0.283,0.107,0.333,0.126,0.203,2007,0.636,0.126
"1334",0.75,0.193,0.333,0.126,0.209,2006,0.545,0.16
"1386",0.95,0.154,0.417,0.126,0.169,2010,0.364,0.142
"1409",0,0.194,0.333,0.126,0.372,2010,0.455,0.145
"84",0.167,0.138,0.333,0.127,0.325,2007,0.545,0.157
"324",0.917,0.156,0.333,0.127,0.155,2006,0.545,0.174
"419",0,0.151,0.417,0.127,0.169,2007,0.273,0.136
"985",0.45,0.264,0.5,0.127,0.38,2009,0.636,0.123
"1080",0.733,0.124,0.25,0.127,0.211,2007,0.273,0.144
"50",0.267,0.117,0.333,0.128,0.272,2007,0,0.138
"78",0.85,0.179,0.333,0.128,0.169,2008,0,0.142
"185",0.683,0.173,0.25,0.128,0.406,2006,0.455,0.125
"195",0.367,0.1,0.25,0.128,0.248,2008,0.364,0.122
"381",0,0.256,0.333,0.128,0.217,2010,0.364,0.209
"856",1,0.133,0.333,0.128,0.183,2010,0.273,0.153
"1097",0.933,0.192,0.417,0.128,0,2007,0.182,0.149
"1230",0.167,0.221,0.417,0.128,0.285,2008,0.636,0.197
"1368",0.45,0.215,0.333,0.128,0.237,2006,0.545,0.166
"127",0.433,0.118,0.25,0.129,0.31,2007,0.091,0.149
"166",0.817,0.192,0.333,0.129,0,2008,0.727,0.146
"446",0.1,0.255,0.417,0.129,0.339,2009,0.909,0.244
"532",0.817,0.194,0.333,0.129,0.354,2008,0.455,0.144
"566",0,0.247,0.333,0.129,0.152,2010,0.364,0.186
"761",0.15,0.1,0.25,0.129,0.212,2009,0.818,0.122
"785",0.85,0.217,0.583,0.129,0,2008,0.455,0.166
"836",0.75,0.138,0.167,0.129,0.307,2010,0.091,0.158
"906",0.067,0.137,0.333,0.129,0.197,2010,0.091,0.156
"955",0.417,0.122,0.167,0.129,0,2006,0.818,0.139
"1099",0,0.187,0.333,0.129,0.169,2009,0.545,0.146
"1256",0,0.195,0.333,0.129,0.395,2007,0.909,0.168
"1422",0.45,0.138,0.167,0.129,0.31,2010,0.545,0.158
"171",0,0.197,0.417,0.13,0.465,2007,0.364,0.109
"234",0.433,0.106,0.25,0.13,0.217,2010,0.091,0.127
"680",0.183,0.123,0.25,0.13,0.403,2007,0.818,0.144
"720",0.317,0.12,0.25,0.13,0.212,2006,0.364,0.141
"1340",0.367,0.1,0.25,0.13,0.203,2006,0.455,0.122
"11",0.25,0.133,0.25,0.131,0.271,2008,0.091,0.153
"72",0.933,0.096,0.167,0.131,0.254,2007,0.455,0.119
"100",0.15,0.168,0.333,0.131,0,2010,0,0.161
"396",0.1,0.153,0.333,0.131,0.42,2010,0.455,0.171
"548",0.333,0.082,0.25,0.131,0.44,2007,0.273,0.105
"667",0.483,0.385,0.417,0.131,0.42,2007,0.636,0.269
"714",0.333,0.118,0.333,0.131,0.406,2006,0.364,0.139
"868",0.183,0.148,0.25,0.131,0.384,2007,0.364,0.16
"951",0.867,0.1,0.25,0.131,0.508,2007,0.545,0.122
"1095",0.833,0.113,0.167,0.131,0.217,2010,0.364,0.135
"1163",0.3,0.106,0.25,0.131,0.317,2007,0.364,0.127
"1249",0,0.325,0.5,0.131,0.279,2008,0.273,0.215
"1262",0.1,0.135,0.25,0.131,0.238,2009,0.455,0.155
"1446",0.267,0.109,0.333,0.131,0.169,2007,0.364,0.122
"9",0,0.271,0.5,0.132,0.33,2008,0.273,0.209
"24",0.433,0.137,0.333,0.132,0.403,2007,0.455,0.155
"44",0.5,0.114,0.25,0.132,0.217,2008,0.545,0.135
"55",0.083,0.193,0.333,0.132,0.403,2007,0.091,0.123
"146",0.933,0.259,0.417,0.132,0.268,2006,0.273,0.205
"194",0.9,0.259,0.417,0.132,0.268,2006,0.364,0.205
"264",0.85,0.185,0.333,0.132,0.341,2010,0.273,0.133
"359",0.133,0.192,0.333,0.132,0.203,2006,0.545,0.182
"499",0.9,0.106,0.25,0.132,0.203,2009,0.455,0.125
"513",0.133,0.1,0.25,0.132,0.44,2006,0.545,0.122
"587",0.833,0.095,0.25,0.132,0.194,2008,0.364,0.116
